"","Title","Author","Format","Starts","Price","ISBN","Category","publishedDate","categories","pageCount"
"1","This is Going to Hurt","Adam Kay","Paperback",4.5,"7.6",9781509858637,"Medical","2018","Biography & Autobiography",279
"2","Thinking, Fast and Slow","Daniel Kahneman","Paperback",4,"11.5",9780141033570,"Medical","2011","Business & Economics",610
"3","When Breath Becomes Air","Paul Kalanithi","Paperback",4.5,"9.05",9781784701994,"Medical","2017-01-03","Biography & Autobiography",260
"4","The Happiness Trap","Russ Harris","Paperback",4,"8.34",9781845298258,"Medical","2008","Acceptance and commitment therapy",0
"5","Man's Search For Meaning","Viktor E. Frankl","Paperback",4.5,"9.66",9781846041242,"Medical","2008","Existential psychotherapy",0
"6","The Man Who Mistook His Wife for a Hat","Oliver Sacks","Paperback",4,"5.92",9780330523622,"Medical","2011","Psychology",0
"7","The 8-week Blood Sugar Diet","Michael Mosley","Paperback",4,"8.85",9781780722405,"Medical","2015","Health & Fitness",0
"8","The Clever Guts Diet","Michael Mosley","Paperback",4,"8.92",9781780723044,"Medical","2017-05-18","Cooking",0
"9","12 Rules for Life","Jordan B. Peterson","Paperback",4,"18.31",9780241351642,"Medical","2018-01-16",NA,448
"10","Being Mortal","Atul Gawande","Paperback",4.5,"9.03",9781846685828,"Medical","2015","Aging",0
"11","Gut","Giulia Enders","Paperback",4,"10.49",9781925228601,"Medical","2016-05","Intestines",272
"12","The Brain That Changes Itself","Norman Doidge","Paperback",4,"11.03",9780141038872,"Medical","2008-08-07","Family & Relationships",460
"13","Medical Medium Liver Rescue","Anthony William","Hardback",4,"23.76",9781401954406,"Medical","2018-10-30","Health & Fitness",0
"14","Wreck This Journal","Keri Smith","Paperback",4,"9.59",9780141976143,"Medical","2013","Games & Activities",0
"15","12 Rules for Life","Jordan B. Peterson","Hardback",4,"20.99",9780241351635,"Medical","2018",NA,448
"16","12 Rules for Life","Jordan B. Peterson","Paperback",4,"10.26",9780141988511,"Medical","2019","Self-Help",0
"17","Gut and Psychology Syndrome","Dr Natasha Campbell-McBride","Paperback",4,"19.48",9780954852023,"Medical","2015-03-03","Health & Fitness",0
"18","Medical Medium Thyroid Healing","Anthony William","Hardback",4,"17.26",9781401948368,"Medical","2017-11-07","Health & Fitness",0
"19","Steal Like an Artist","Austin Kleon","Paperback",4,"8.81",9780761169253,"Medical","2012-02-28","Self-Help",161
"20","Sitting Still Like A Frog","Eline Snel","Paperback",4,"10.4",9781611800586,"Medical","2013-12-03","Family & Relationships",125
"21","How Not To Die","Michael Greger","Paperback",4.5,"10.33",9781509852505,"Medical","2017-12-27","Medical",658
"22","The Whole-Brain Child","Tina Payne Bryson","Paperback",4,"11.23",9781780338378,"Medical","2012-08","Child development",0
"23","Birth Skills","Juju Sundin","Paperback",4,"17.03",9780091922146,"Medical","2008","Family & Relationships",306
"24","Diagnostic and Statistical Manual of Mental Disorders (DSM-5)","American Psychiatric Association","Paperback",4,"95.94",9780890425558,"Medical",NA,NA,NA
"25","Medical Medium Celery Juice","Anthony William","Hardback",4,"14.01",9781401957650,"Medical","2019-05-21","Health & Fitness",0
"26","The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did)","Philippa Perry","Hardback",4,"13.03",9780241250990,"Medical","2019","Child psychology",0
"27","Publication Manual of the American Psychological Association","American Psychological Association","Paperback",3.5,"30.49",9781433805615,"Medical","2010","Language Arts & Disciplines, NULL",372
"28","Proof of Heaven","Dr. Eben Alexander","Paperback",3.5,"13.01",9781451695199,"Medical","2012-10-23","Biography & Autobiography",256
"29","The Immortal Life of Henrietta Lacks","Rebecca Skloot","Paperback",4,"8.48",9780330533447,"Medical","2011","African American women",0
"30","The Complete Guide to Asperger's Syndrome","Tony Attwood","Paperback",4,"20.08",9781843106692,"Medical","2008","Family & Relationships",397
"31","The Checklist Manifesto","Atul Gawande","Paperback",4,"9.04",9781846683145,"Medical","2011","Self-Help",209
"32","Do No Harm","Henry Marsh","Paperback",4,"8.0",9781780225920,"Medical","2014","Biography & Autobiography",0
"33","The Anatomy Coloring Book","Wynn Kapit","Paperback",4,"24.25",9780321832016,"Medical","2014","Games & Activities",0
"34","The Plant Paradox","Steven R. Gundry","Hardback",3.5,"16.53",9780062427137,"Medical","2017-04-25","Health & Fitness",416
"35","Wreck This Journal Everywhere","Keri Smith","Paperback",4,"5.83",9781846148583,"Medical","2014","Games & Activities",0
"36","How to Change Your Mind","Michael Pollan","Paperback",4.5,"10.28",9780141985138,"Medical","2019","History",0
"37","Raising an Emotionally Intelligent Child","John Gottman","Paperback",4,"11.21",9780684838656,"Medical","1998-08-12","Family & Relationships, Family & Relationships",240
"38","Allen Carr's Easy Way to Stop Smoking","Allen Carr","Paperback",4.5,"9.53",9781405923316,"Medical","2015-09-24","Self-Help",0
"39","The Mindful Way through Depression","J. Mark G. Williams","Paperback",4,"17.54",9781593851286,"Medical","2007-06-02","Self-Help, Psychology",289
"40","Call The Midwife","Jennifer Worth","Paperback",4,"7.9",9780753823835,"Medical","2008","Childbirth",0
"41","The Dialectical Behavior Therapy Skills Workbook","Matthew McKay","Paperback",4,"15.49",9781572245136,"Medical","2007","Self-Help, NULL",232
"42","The Reality Slap","Russ Harris","Paperback",4,"7.82",9781780332024,"Medical","2012","Acceptance and commitment therapy",242
"43","The Boy Who Was Raised as a Dog, 3rd Edition","Bruce D. Perry","Paperback",4.5,"13.64",9780465094455,"Medical","2017-08-29","Psychology, Psychology",448
"44","Strength Training Anatomy","Frederic Delavier","Paperback",4.5,"13.83",9780736092265,"Medical","2010","Health & Fitness",192
"45","The Brain That Changes Itself","Norman Doidge","Paperback",4,"15.22",9780143113102,"Medical","2007-12-18","Psychology",0
"46","Lost Ocean","Johanna Basford","Paperback",4.5,"12.39",9780753557150,"Medical","2015-10-22","Art",84
"47","Mating in Captivity","Esther Perel","Paperback",4,"12.37",9780060753641,"Medical","2007-10-30","Psychology",274
"48","This is Going to Hurt","Adam Kay","Hardback",4.5,"12.81",9781509858613,"Medical","2017","C.",0
"49","You Are the Placebo","Joe Dispenza","Paperback",4.5,"14.4",9781781802571,"Medical","2014-04-29","BODY, MIND & SPIRIT",400
